time,"(2.152, 2.642]","(2.642, 3.243]","(3.243, 3.981]","(3.981, 4.886]","(4.886, 5.998]","(5.998, 7.363]","(7.363, 9.038]","(9.038, 11.094]","(11.094, 13.618]","(13.618, 16.716]","(16.716, 20.519]","(20.519, 25.188]","(25.188, 30.918]","(30.918, 37.952]","(37.952, 46.587]","(46.587, 57.186]","(57.186, 70.196]","(70.196, 86.166]","(86.166, 105.769]","(105.769, 129.833]","(129.833, 159.371]","(159.371, 195.629]","(195.629, 240.137]","(240.137, 294.77]","(294.77, 361.832]","(361.832, 444.152]","(444.152, 545.201]","(545.201, 669.239]","(669.239, 821.496]","(821.496, 1008.394]"
2020-06-18 10:00:00,0,0,0,0,0,1,0,0,0,0,2,2,3,3,2,2,0,2,6,6,5,6,12,10,10,6,6,4,5,3
2020-06-18 11:00:00,0,0,0,1,0,1,0,0,0,0,2,1,2,2,1,2,0,2,4,5,4,6,10,9,9,5,5,4,4,3
2020-06-18 12:00:00,0,0,0,1,0,0,0,0,0,0,1,1,2,2,1,1,0,1,3,4,2,5,9,8,8,4,4,4,3,2
2020-06-18 13:00:00,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,2,3,1,4,7,6,6,3,4,5,2,2
2020-06-18 14:00:00,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,3,6,5,5,2,3,5,1,2
2020-06-18 15:00:00,0,0,0,1,0,0,0,1,2,2,1,2,2,1,2,1,2,2,3,2,4,3,6,6,7,8,8,7,3,2
2020-06-18 16:00:00,0,0,0,0,0,0,1,2,4,4,2,2,3,1,4,2,4,4,5,2,8,4,6,8,10,13,14,8,6,3
2020-06-18 17:00:00,0,0,0,0,0,0,0,2,2,2,4,3,5,4,8,6,5,8,10,8,13,14,14,24,26,31,29,23,15,8
2020-06-18 18:00:00,1,1,0,0,0,0,0,1,0,1,5,3,7,6,11,9,6,13,14,14,18,24,21,40,42,49,45,38,25,14
2020-06-18 19:00:00,0,0,0,0,0,0,0,2,1,2,4,3,7,5,7,6,4,10,10,10,12,16,17,30,34,34,32,29,19,11
2020-06-18 20:00:00,0,0,0,0,0,1,0,2,2,3,4,3,7,4,3,2,2,8,7,5,6,9,13,20,26,19,19,20,13,8
2020-06-18 21:00:00,0,0,0,0,0,0,1,2,2,2,2,2,6,4,4,2,3,5,4,4,5,9,12,16,20,18,18,16,14,8
2020-06-18 22:00:00,0,0,0,0,1,0,2,2,1,0,0,2,4,4,4,1,4,2,2,3,4,9,12,11,15,16,18,13,14,8
