time,"(0.0982, 0.107]","(0.107, 0.116]","(0.116, 0.127]","(0.127, 0.138]","(0.138, 0.15]","(0.15, 0.164]","(0.164, 0.178]","(0.178, 0.194]","(0.194, 0.212]","(0.212, 0.231]","(0.231, 0.251]","(0.251, 0.273]","(0.273, 0.298]","(0.298, 0.324]","(0.324, 0.353]","(0.353, 0.385]","(0.385, 0.419]","(0.419, 0.457]","(0.457, 0.497]","(0.497, 0.542]","(0.542, 0.59]","(0.59, 0.642]","(0.642, 0.7]","(0.7, 0.762]","(0.762, 0.83]","(0.83, 0.904]","(0.904, 0.984]","(0.984, 1.072]","(1.072, 1.168]","(1.168, 1.272]"
2021-07-07 02:00:00,1,7,4,6,15,14,34,51,69,122,146,220,339,443,562,842,1063,1127,1351,1392,1388,1318,1160,905,584,400,231,125,37,8
2021-07-07 03:00:00,11,14,17,22,38,54,90,130,190,249,330,397,518,629,762,980,1084,1206,1346,1345,1282,1194,1006,776,522,339,202,96,28,8
2021-07-07 04:00:00,21,20,30,37,60,95,145,210,311,376,514,574,697,815,962,1118,1105,1285,1340,1298,1175,1069,853,647,459,278,172,68,20,7
2021-07-07 05:00:00,16,12,20,20,38,66,95,128,194,245,340,402,508,610,746,875,940,1088,1172,1172,1080,1018,806,624,425,264,152,77,24,11
2021-07-07 06:00:00,10,5,9,2,16,37,45,46,76,114,165,229,318,406,529,632,776,890,1004,1046,984,967,758,601,391,250,132,86,28,15
2021-07-07 07:00:00,6,6,6,4,14,24,32,38,58,98,138,206,287,376,490,633,810,946,1092,1204,1184,1180,1026,823,577,378,209,126,46,18
2021-07-07 08:00:00,1,7,3,7,12,10,18,30,40,82,112,183,256,346,451,634,845,1003,1181,1363,1383,1393,1294,1045,763,505,286,165,65,22
2021-07-07 09:00:00,0,4,2,8,8,11,15,28,42,82,114,181,262,366,475,656,890,1074,1319,1528,1614,1634,1584,1354,1106,745,461,218,94,29
2021-07-07 10:00:00,0,0,2,8,4,12,12,27,45,81,115,179,269,387,499,679,935,1145,1457,1692,1844,1875,1874,1664,1449,985,636,271,123,36
2021-07-07 11:00:00,0,0,3,4,4,12,12,22,42,64,94,146,220,326,440,581,830,1038,1312,1608,1779,1901,1972,1792,1612,1190,770,376,175,53
