time,"(1.001, 1.248]","(1.248, 1.555]","(1.555, 1.937]","(1.937, 2.415]","(2.415, 3.009]","(3.009, 3.75]","(3.75, 4.673]","(4.673, 5.824]","(5.824, 7.258]","(7.258, 9.045]","(9.045, 11.272]","(11.272, 14.047]","(14.047, 17.505]","(17.505, 21.816]","(21.816, 27.187]","(27.187, 33.881]","(33.881, 42.223]","(42.223, 52.619]","(52.619, 65.574]","(65.574, 81.72]","(81.72, 101.84]","(101.84, 126.915]","(126.915, 158.164]","(158.164, 197.106]","(197.106, 245.637]","(245.637, 306.117]","(306.117, 381.488]","(381.488, 475.416]","(475.416, 592.471]","(592.471, 738.347]"
2019-11-08 08:00:00,0,1,0,0,0,2,0,2,3,1,3,6,6,5,9,15,15,18,22,29,47,36,50,45,61,51,28,21,16,4
2019-11-08 09:00:00,0,1,0,0,0,2,0,2,3,2,3,5,5,6,10,11,14,16,22,28,40,38,48,42,55,45,31,23,15,5
2019-11-08 10:00:00,0,0,0,0,0,1,1,2,3,3,3,5,4,7,12,7,13,14,22,26,33,40,47,39,48,38,34,24,14,6
2019-11-08 11:00:00,0,0,0,0,0,1,1,3,2,2,6,5,5,5,11,8,11,13,20,24,30,34,42,33,35,36,34,24,13,4
2019-11-08 12:00:00,0,0,0,0,0,0,1,3,2,2,8,5,5,3,10,9,9,11,18,21,27,29,38,27,21,33,35,24,12,2
2019-11-08 13:00:00,0,0,0,0,0,0,1,2,2,1,5,4,5,4,6,8,8,12,19,22,24,30,35,28,24,26,30,20,12,4
2019-11-08 14:00:00,0,1,1,1,0,0,1,2,2,0,2,3,5,6,3,7,6,14,20,22,22,31,32,30,26,19,26,17,12,5
2019-11-08 15:00:00,0,0,0,1,0,0,1,1,2,1,2,2,3,8,4,8,7,13,18,19,18,32,27,28,26,21,20,15,8,4
2019-11-08 16:00:00,0,0,0,1,0,0,1,0,1,2,1,1,1,9,6,8,8,12,16,16,14,32,22,25,26,23,14,13,5,3
2019-11-08 17:00:00,0,0,0,1,0,0,2,0,0,2,2,2,2,6,6,7,8,10,14,14,16,25,18,22,24,20,16,16,12,6
2019-11-08 18:00:00,0,0,1,1,0,0,2,1,0,2,4,4,2,4,6,6,7,9,11,13,17,18,13,18,23,16,18,19,19,9
2019-11-08 19:00:00,0,0,1,0,1,0,1,0,1,1,4,3,4,6,8,6,6,7,8,12,13,15,14,22,20,17,16,20,20,10
2019-11-08 20:00:00,1,0,1,0,2,1,0,0,2,0,5,2,5,9,10,5,4,5,5,10,9,12,14,26,18,18,15,21,22,12
2019-11-08 21:00:00,0,0,0,0,2,0,0,0,2,0,4,3,3,7,9,7,6,6,6,8,8,15,16,28,20,22,18,24,22,13
2019-11-08 22:00:00,0,0,0,0,2,0,1,1,1,0,4,4,1,5,8,9,7,8,7,6,8,18,18,31,21,25,21,26,22,14
2019-11-08 23:00:00,0,0,0,0,1,0,0,0,2,0,2,4,2,5,7,6,8,8,10,12,14,18,17,27,19,20,22,22,16,16
2019-11-09 00:00:00,0,0,0,0,0,0,0,0,2,0,0,3,3,5,6,4,8,7,13,19,19,19,16,23,17,14,22,17,11,17
2019-11-09 01:00:00,0,0,0,0,0,0,0,0,2,0,1,3,4,4,6,7,8,10,12,18,22,18,18,24,20,17,25,20,12,18
2019-11-09 02:00:00,0,1,0,0,0,0,1,1,2,1,2,3,5,4,6,10,9,12,11,16,24,16,20,25,22,20,28,22,13,18
2019-11-09 03:00:00,0,0,0,0,0,0,0,1,2,2,3,4,4,5,7,8,15,15,14,16,24,26,22,28,23,25,30,24,12,12
2019-11-09 04:00:00,0,0,0,0,0,0,0,1,2,2,4,4,2,6,8,7,21,18,17,17,24,35,23,30,24,30,32,27,12,6
2019-11-09 05:00:00,0,0,0,0,1,0,0,0,4,1,4,3,6,7,11,8,18,23,20,22,32,34,30,31,27,29,28,22,12,5
2019-11-09 06:00:00,0,0,0,0,2,1,1,0,7,0,4,2,9,8,14,10,14,28,22,26,39,33,36,32,30,28,25,16,11,4
2019-11-09 07:00:00,0,0,0,0,1,1,1,0,4,1,3,2,8,8,12,10,14,24,22,27,36,39,39,37,34,31,25,16,11,4
2019-11-09 08:00:00,0,0,0,0,1,1,1,1,2,2,3,2,6,7,9,11,13,21,22,28,32,45,42,42,39,34,26,16,12,4
2019-11-09 09:00:00,0,0,0,0,0,0,0,1,3,1,3,4,4,7,10,9,13,17,20,24,36,38,45,46,37,34,30,20,9,5
2019-11-09 10:00:00,0,0,0,0,0,0,0,1,4,0,4,5,2,7,11,8,12,14,17,19,39,31,48,50,35,34,35,24,7,6
2019-11-09 11:00:00,0,0,0,0,0,0,0,0,2,1,4,4,3,5,8,9,12,15,18,16,32,30,42,37,30,34,32,27,12,8
2019-11-09 12:00:00,0,0,0,0,1,1,1,0,0,2,3,4,4,3,4,10,13,16,19,12,25,29,35,24,24,34,28,30,18,11
2019-11-09 13:00:00,0,0,0,0,0,1,1,0,1,2,2,2,4,4,2,10,12,12,14,14,20,21,28,22,25,26,20,20,12,7
2019-11-09 14:00:00,0,0,0,0,0,1,1,0,2,1,1,1,5,6,1,11,10,9,9,17,16,13,21,20,26,18,13,10,5,3
2019-11-09 15:00:00,0,0,0,0,0,0,1,0,2,2,0,2,6,4,4,8,12,8,9,14,12,14,20,18,18,14,11,11,6,5
