time,"(0.12, 0.13]","(0.13, 0.14]","(0.14, 0.152]","(0.152, 0.165]","(0.165, 0.178]","(0.178, 0.193]","(0.193, 0.209]","(0.209, 0.226]","(0.226, 0.245]","(0.245, 0.266]","(0.266, 0.288]","(0.288, 0.311]","(0.311, 0.337]","(0.337, 0.365]","(0.365, 0.395]","(0.395, 0.428]","(0.428, 0.464]","(0.464, 0.502]","(0.502, 0.544]","(0.544, 0.589]","(0.589, 0.638]","(0.638, 0.69]","(0.69, 0.748]","(0.748, 0.81]","(0.81, 0.877]","(0.877, 0.949]","(0.949, 1.028]","(1.028, 1.113]","(1.113, 1.206]","(1.206, 1.305]"
2021-08-15 02:00:00,6,1,3,7,4,12,11,25,25,39,62,70,99,121,175,210,277,318,370,439,451,444,392,373,273,171,99,56,20,6
2021-08-15 03:00:00,3,4,4,6,6,12,17,19,24,36,54,64,92,122,166,210,291,320,378,412,468,444,394,360,262,171,94,58,18,6
2021-08-15 04:00:00,0,7,4,6,7,13,23,13,23,32,45,59,84,124,156,211,305,323,387,384,484,443,396,347,252,171,89,59,17,5
2021-08-15 05:00:00,1,7,4,4,8,10,22,15,25,28,42,68,86,130,156,212,284,323,371,381,446,402,364,301,220,165,92,56,16,4
2021-08-15 06:00:00,2,7,5,3,9,8,22,17,27,23,38,76,89,136,157,213,262,323,355,378,409,362,333,255,188,159,96,54,15,4
2021-08-15 07:00:00,3,6,5,2,8,6,17,14,22,27,44,66,80,133,158,214,253,319,358,378,396,365,330,269,196,144,92,50,16,4
2021-08-15 08:00:00,4,6,5,1,6,5,12,12,17,31,50,56,72,130,160,214,244,315,361,379,382,368,326,283,205,129,89,47,16,4
2021-08-15 09:00:00,3,4,4,2,10,8,9,17,18,30,46,56,84,126,150,219,248,318,346,390,403,375,326,282,202,144,95,46,17,4
2021-08-15 10:00:00,2,1,4,2,14,11,6,22,18,29,41,55,97,121,141,224,253,321,332,400,424,382,327,281,200,160,101,46,18,4
2021-08-15 11:00:00,4,0,3,4,9,10,8,18,20,32,42,54,82,110,131,192,232,292,328,363,376,379,323,284,214,162,104,46,22,9
2021-08-15 12:00:00,7,0,2,6,4,9,10,13,21,35,43,53,68,98,121,159,211,262,324,326,329,376,319,288,228,163,106,47,27,14
2021-08-15 13:00:00,4,2,2,5,3,10,10,15,23,30,46,46,72,95,129,154,208,257,308,318,338,366,307,288,234,184,124,69,34,18
2021-08-15 14:00:00,2,4,2,4,2,11,10,17,25,25,49,40,77,92,137,149,205,252,292,311,347,357,295,287,241,205,141,91,42,23
2021-08-15 15:00:00,4,3,4,3,4,10,14,15,22,23,42,41,70,85,126,142,182,241,281,311,330,338,292,293,264,230,156,113,55,23
2021-08-15 16:00:00,5,2,5,2,7,9,17,13,19,21,35,42,63,78,115,135,160,230,270,311,312,320,288,299,287,255,172,135,68,23
2021-08-15 17:00:00,4,2,5,3,6,7,10,15,16,24,42,40,66,81,110,140,170,218,254,293,292,293,294,298,280,250,204,150,74,28
2021-08-15 18:00:00,2,3,5,4,4,5,4,17,13,28,48,38,70,84,106,145,180,206,239,275,271,266,301,298,273,246,235,164,79,32
2021-08-15 19:00:00,2,3,4,5,4,4,6,16,11,28,48,36,63,84,102,134,182,199,220,252,260,272,292,308,273,258,230,160,84,29
2021-08-15 20:00:00,1,3,2,6,5,4,8,14,9,28,49,35,56,83,97,124,183,192,202,228,250,277,284,317,273,269,224,157,88,26
2021-08-15 21:00:00,1,3,2,5,4,6,8,12,13,28,42,35,51,86,90,120,158,179,197,236,244,292,294,306,286,262,208,147,72,22
2021-08-15 22:00:00,1,3,1,4,3,9,7,11,17,28,36,35,46,89,84,116,132,166,192,244,239,306,303,296,298,256,191,137,56,19
2021-08-15 23:00:00,0,2,4,3,4,8,9,14,16,26,31,34,44,80,90,120,146,180,202,263,264,309,314,302,314,246,176,110,54,26
2021-08-16 00:00:00,0,2,6,2,4,7,11,18,16,23,26,33,41,72,95,125,159,193,212,282,290,312,324,309,330,236,161,84,52,34
2021-08-16 01:00:00,2,2,4,3,7,8,10,16,18,28,32,40,51,74,112,158,187,218,247,326,312,324,329,298,290,226,155,82,49,24
2021-08-16 02:00:00,5,2,2,4,10,8,10,15,19,34,39,46,61,76,128,192,215,242,282,371,335,336,334,287,251,216,149,81,46,15
2021-08-16 03:00:00,3,2,2,3,8,6,8,18,20,28,43,66,76,98,138,184,242,268,304,363,349,348,348,284,238,196,144,70,42,14
2021-08-16 04:00:00,1,3,1,2,6,5,7,22,21,22,47,85,91,119,147,175,269,293,327,355,363,361,363,282,226,175,139,59,39,12
2021-08-16 05:00:00,2,2,2,2,7,5,9,15,22,22,48,77,85,119,151,188,268,301,342,346,345,336,336,250,211,172,119,62,36,12
2021-08-16 06:00:00,3,1,3,2,8,5,11,8,24,23,49,69,79,119,155,202,268,309,358,336,327,311,310,219,196,169,99,64,32,12
2021-08-16 07:00:00,2,0,2,2,6,4,10,10,22,22,38,62,79,108,148,188,236,270,328,315,336,306,274,224,187,140,91,53,26,8
2021-08-16 08:00:00,2,0,2,3,3,3,9,13,21,22,27,55,79,97,142,174,204,231,298,294,346,302,238,230,178,112,83,42,21,5
2021-08-16 09:00:00,2,0,2,2,2,2,7,11,18,19,26,47,72,88,134,172,206,237,314,339,405,416,406,430,408,332,262,146,70,21
2021-08-16 10:00:00,1,0,2,2,2,2,5,8,14,16,25,40,64,80,127,169,207,243,330,384,464,530,575,629,638,552,440,250,120,36
2021-08-16 11:00:00,0,1,1,2,1,2,3,6,11,12,24,32,56,72,120,166,208,249,346,429,523,645,744,828,868,771,619,354,170,52
2021-08-16 12:00:00,0,1,1,1,0,1,1,4,8,9,23,24,49,63,112,164,210,255,362,474,582,759,912,1028,1098,991,798,458,219,68
2021-08-16 13:00:00,0,2,2,2,0,2,4,8,14,20,29,37,62,86,130,160,214,244,340,426,546,746,980,1238,1423,1370,1170,737,346,104
2021-08-16 14:00:00,0,3,2,2,1,4,8,12,20,31,35,50,76,108,147,157,217,232,317,379,511,733,1048,1449,1748,1750,1541,1016,472,140
2021-08-16 15:00:00,0,2,2,5,6,11,14,24,30,43,52,78,96,114,144,154,184,218,273,332,482,696,1084,1554,1916,2034,1820,1187,588,174
2021-08-16 16:00:00,0,1,2,8,10,18,19,35,40,55,68,107,115,120,141,152,150,203,229,284,454,659,1121,1660,2084,2317,2100,1358,703,208
2021-08-16 17:00:00,1,2,6,10,14,17,34,44,50,68,84,130,134,136,178,160,194,234,294,376,644,1019,1594,2190,2605,2735,2283,1434,689,191
2021-08-16 18:00:00,2,2,10,12,18,16,49,54,59,81,99,154,154,153,214,169,239,266,360,468,835,1379,2068,2719,3126,3153,2466,1510,675,174
2021-08-16 19:00:00,2,4,8,12,18,16,40,45,50,74,90,130,160,175,278,312,433,614,784,1036,1353,1808,2217,2386,2346,2120,1556,899,392,98
2021-08-16 20:00:00,3,6,7,11,18,17,31,36,41,68,82,107,166,197,342,454,627,962,1209,1605,1871,2237,2366,2054,1566,1088,646,288,110,22
2021-08-16 21:00:00,4,8,7,14,15,18,36,47,52,80,100,144,190,289,406,606,814,1088,1318,1572,1737,1884,1844,1516,1088,717,422,176,69,16
2021-08-16 22:00:00,4,9,7,17,12,18,40,58,62,92,118,182,215,381,470,758,1001,1213,1426,1540,1603,1530,1321,977,609,346,197,64,28,10
2021-08-16 23:00:00,4,10,10,14,16,20,40,52,72,112,156,214,284,454,558,806,1027,1172,1336,1408,1422,1274,1040,763,461,257,146,48,21,8
2021-08-17 00:00:00,5,11,13,11,19,23,39,46,81,133,195,245,352,528,647,853,1053,1132,1247,1276,1241,1019,760,549,313,168,94,33,14,6
2021-08-17 01:00:00,6,8,12,16,20,28,38,58,84,132,196,253,366,515,606,770,914,1002,1068,1048,986,811,592,412,249,140,80,28,14,6
2021-08-17 02:00:00,6,5,10,22,22,33,38,69,87,131,198,261,381,502,566,687,776,872,888,821,730,603,424,274,185,113,65,22,13,7
2021-08-17 03:00:00,4,6,8,19,21,33,40,74,88,126,190,253,342,472,514,613,692,748,759,736,625,490,356,232,154,86,48,20,10,4
2021-08-17 04:00:00,2,7,7,16,20,33,41,79,90,121,181,245,302,443,462,539,608,625,630,652,520,376,288,190,124,60,31,18,8,1
2021-08-17 05:00:00,3,7,8,14,24,33,44,74,106,142,204,252,321,442,489,561,604,670,662,646,539,392,292,194,126,70,36,22,6,2
2021-08-17 06:00:00,4,7,9,12,29,33,46,69,121,164,227,258,340,441,516,583,599,715,693,640,558,407,296,197,127,80,42,26,5,3
2021-08-17 07:00:00,5,6,7,8,20,26,33,54,97,126,180,206,276,384,449,536,592,688,698,681,611,486,349,262,156,98,56,27,12,4
2021-08-17 08:00:00,6,6,5,5,12,18,20,40,73,89,132,154,211,327,382,488,586,660,702,722,664,565,402,328,185,115,69,28,20,5
2021-08-17 09:00:00,4,4,4,6,6,12,16,33,52,64,100,128,188,276,339,448,543,664,718,802,792,754,656,536,364,236,136,58,30,10
2021-08-17 10:00:00,2,3,2,6,0,7,13,26,31,38,69,101,165,226,296,407,500,669,735,882,921,942,910,744,542,356,202,89,39,14
2021-08-17 11:00:00,2,2,2,6,4,9,22,28,38,58,94,140,219,306,422,542,718,890,1041,1268,1405,1511,1430,1284,1051,727,392,182,70,28
2021-08-17 12:00:00,1,1,2,7,8,11,31,29,45,78,119,178,273,387,547,677,937,1112,1347,1655,1889,2080,1950,1824,1560,1098,583,275,100,41
2021-08-17 13:00:00,1,2,2,5,8,10,22,26,44,71,102,136,226,317,448,568,746,930,1158,1423,1652,1843,1852,1747,1536,1138,661,308,102,32
2021-08-17 14:00:00,1,2,2,3,8,9,13,22,42,64,84,95,178,247,348,460,556,748,969,1191,1414,1606,1754,1670,1512,1177,739,341,105,24
2021-08-17 15:00:00,2,2,2,4,8,12,12,24,34,52,76,106,152,208,302,390,460,640,767,991,1143,1346,1454,1432,1338,1107,740,355,106,28
2021-08-17 16:00:00,2,3,2,6,8,14,12,26,25,39,68,117,126,170,255,321,364,532,565,791,872,1085,1155,1193,1165,1037,741,369,106,32
2021-08-17 17:00:00,2,2,2,6,10,14,16,22,34,47,72,110,126,171,252,312,384,501,607,790,868,1062,1170,1244,1214,1114,834,439,162,34
2021-08-17 18:00:00,1,1,1,6,11,14,21,18,43,55,77,103,127,172,249,302,404,470,649,789,865,1040,1186,1296,1263,1191,928,509,219,35
2021-08-17 19:00:00,2,1,2,6,8,9,17,17,34,44,68,88,118,161,242,288,388,475,601,748,850,1036,1161,1355,1332,1232,944,530,220,38
2021-08-17 20:00:00,2,1,4,5,5,4,13,16,25,34,59,72,109,150,235,274,372,480,553,707,834,1031,1136,1414,1402,1273,961,552,222,42
2021-08-17 21:00:00,2,2,4,4,4,5,10,18,25,43,58,87,128,174,241,294,378,453,552,700,816,958,1048,1200,1144,955,702,380,144,28
2021-08-17 22:00:00,2,2,3,2,2,6,8,20,25,52,56,102,147,197,247,314,384,426,552,693,797,886,960,986,886,637,444,207,65,15
2021-08-17 23:00:00,2,2,2,4,6,9,12,24,37,68,78,126,172,230,279,380,449,504,624,756,818,878,925,846,716,492,308,152,46,13
2021-08-18 00:00:00,3,3,1,7,11,12,17,29,49,85,101,150,198,262,311,445,514,582,697,819,840,871,890,707,547,348,171,96,28,11
2021-08-18 01:00:00,6,6,4,6,14,23,24,36,68,92,127,177,246,288,358,472,551,630,746,818,826,813,729,582,426,263,141,74,22,7
2021-08-18 02:00:00,8,10,6,6,17,34,30,42,87,99,153,204,295,315,406,498,588,679,794,818,812,755,568,456,305,178,111,52,15,3
2021-08-18 03:00:00,5,10,8,8,15,28,33,52,84,108,150,210,272,326,400,476,536,657,727,758,722,672,542,412,266,165,98,52,14,3
2021-08-18 04:00:00,2,9,9,10,13,22,36,61,81,118,146,215,250,336,395,453,483,635,660,698,632,589,517,367,226,152,84,51,14,3
2021-08-18 05:00:00,2,8,9,8,14,21,33,56,68,108,133,204,250,326,398,450,492,604,647,662,610,554,504,352,212,136,87,48,12,4
2021-08-18 06:00:00,2,6,9,7,16,20,30,51,56,98,120,193,250,315,401,448,501,572,634,626,588,519,490,336,198,120,90,44,11,5
2021-08-18 07:00:00,1,4,6,6,11,15,20,38,41,84,100,174,215,284,374,423,472,574,652,676,646,610,533,406,259,155,100,54,20,6
2021-08-18 08:00:00,0,3,3,5,6,10,11,24,26,71,81,155,180,254,346,398,442,575,669,726,704,701,576,475,320,190,111,63,28,8
2021-08-18 09:00:00,0,2,4,6,6,9,13,24,34,62,86,150,191,266,370,450,546,686,836,960,951,985,867,750,526,316,183,100,45,14
2021-08-18 10:00:00,1,2,4,6,7,8,15,25,41,52,90,146,202,277,394,502,649,797,1003,1193,1198,1269,1158,1025,733,442,255,136,62,21
