time,"(0.29, 0.37]","(0.37, 0.473]","(0.473, 0.605]","(0.605, 0.773]","(0.773, 0.988]","(0.988, 1.263]","(1.263, 1.614]","(1.614, 2.064]","(2.064, 2.638]","(2.638, 3.372]","(3.372, 4.31]","(4.31, 5.509]","(5.509, 7.042]","(7.042, 9.002]","(9.002, 11.506]","(11.506, 14.708]","(14.708, 18.8]","(18.8, 24.031]","(24.031, 30.717]","(30.717, 39.264]","(39.264, 50.188]","(50.188, 64.153]","(64.153, 82.003]","(82.003, 104.819]","(104.819, 133.984]","(133.984, 171.263]","(171.263, 218.915]","(218.915, 279.826]","(279.826, 357.685]","(357.685, 457.207]"
2020-06-18 10:00:00,0,0,1,2,1,2,2,6,5,12,13,28,47,68,102,99,108,116,134,158,150,168,144,122,104,58,53,38,32,24
2020-06-18 11:00:00,0,1,1,1,1,2,2,5,4,10,10,23,41,60,87,91,97,104,114,133,133,150,133,117,95,58,47,31,26,20
2020-06-18 12:00:00,0,1,2,1,0,2,2,4,4,8,8,19,36,53,72,84,86,92,93,109,116,132,122,112,86,58,40,24,21,16
2020-06-18 13:00:00,0,1,2,1,0,1,1,3,3,6,6,14,30,46,56,76,75,79,72,84,100,113,110,107,78,58,34,17,15,12
2020-06-18 14:00:00,0,1,2,1,0,1,1,2,2,4,3,10,24,38,41,68,64,67,52,60,83,95,99,102,69,58,28,10,10,8
2020-06-18 15:00:00,0,1,2,1,0,2,2,6,10,23,34,35,45,62,68,107,111,132,116,133,137,154,165,161,123,90,54,32,24,19
2020-06-18 16:00:00,0,2,1,2,1,2,4,10,18,42,64,60,66,85,95,146,158,198,180,206,191,214,232,220,176,121,80,53,38,30
2020-06-18 17:00:00,0,1,2,1,1,5,15,29,61,98,128,123,98,92,114,142,153,196,190,215,196,198,231,213,165,112,78,52,30,31
2020-06-18 18:00:00,0,1,2,1,1,8,27,48,104,155,193,186,129,99,132,138,149,194,199,224,200,181,231,206,153,103,77,51,22,32
2020-06-18 19:00:00,1,0,2,2,3,8,18,31,58,84,105,119,92,92,119,120,136,156,170,169,164,152,188,162,132,88,63,39,28,20
