time,"(0.531, 0.577]","(0.577, 0.628]","(0.628, 0.683]","(0.683, 0.743]","(0.743, 0.808]","(0.808, 0.879]","(0.879, 0.957]","(0.957, 1.041]","(1.041, 1.132]","(1.132, 1.232]","(1.232, 1.34]","(1.34, 1.458]","(1.458, 1.586]","(1.586, 1.725]","(1.725, 1.877]","(1.877, 2.042]","(2.042, 2.221]","(2.221, 2.416]","(2.416, 2.628]","(2.628, 2.859]","(2.859, 3.111]","(3.111, 3.384]","(3.384, 3.681]","(3.681, 4.005]","(4.005, 4.357]","(4.357, 4.74]","(4.74, 5.156]","(5.156, 5.609]","(5.609, 6.102]","(6.102, 6.639]"
2020-10-09 00:00:00,6,7,5,23,48,122,180,275,301,337,513,702,1006,1155,1114,1011,1021,868,714,507,304,172,124,77,68,72,49,29,30,17
2020-10-09 01:00:00,4,6,6,28,60,138,220,320,385,454,612,814,1056,1136,1067,976,936,808,625,440,276,166,133,82,74,60,48,27,22,15
2020-10-09 02:00:00,2,4,7,34,73,155,259,366,469,570,710,925,1105,1116,1020,940,852,748,536,374,249,159,142,87,80,48,46,25,15,13
2020-10-09 03:00:00,4,8,14,32,70,152,236,312,402,531,709,902,1020,1001,916,828,752,628,428,290,187,127,105,76,60,44,34,23,16,11
2020-10-09 04:00:00,5,11,21,30,68,149,214,258,335,492,708,878,936,886,811,716,651,507,321,205,125,95,68,65,39,41,21,21,17,9
2020-10-09 05:00:00,8,12,24,34,72,140,192,230,302,420,608,770,814,787,730,641,562,451,286,184,112,78,64,56,37,30,21,16,15,8
2020-10-09 06:00:00,11,12,27,38,76,131,169,202,269,349,509,661,691,688,650,566,472,395,250,164,100,61,60,46,35,19,21,10,13,8
2020-10-09 07:00:00,8,13,18,28,54,92,133,178,243,298,412,542,682,734,752,692,628,546,436,324,230,150,94,64,56,34,23,18,13,6
2020-10-09 08:00:00,4,14,8,18,31,54,97,155,217,246,316,424,672,781,855,817,783,697,621,484,359,238,127,81,76,48,25,26,13,4
2020-10-09 09:00:00,4,8,6,13,22,34,76,130,188,222,294,356,512,614,710,782,790,784,745,654,555,475,376,265,166,88,58,36,24,10
2020-10-09 10:00:00,3,1,3,8,12,13,56,104,160,198,271,288,352,446,566,747,796,872,869,823,751,712,625,449,255,129,90,45,36,16
2020-10-09 11:00:00,3,2,3,8,8,12,43,82,128,173,236,271,306,388,443,555,609,718,809,874,920,888,856,734,594,410,261,116,50,18
2020-10-09 12:00:00,3,2,3,8,5,11,30,59,97,148,202,254,259,331,320,363,422,563,749,925,1090,1065,1088,1020,933,691,432,188,63,21
2020-10-09 13:00:00,2,2,2,6,4,8,20,42,68,114,175,245,283,312,319,360,417,505,608,752,1006,1190,1343,1312,1156,1008,717,402,132,39
2020-10-09 14:00:00,1,3,2,4,4,6,9,25,38,79,148,236,307,292,318,358,412,447,468,580,921,1316,1598,1604,1380,1324,1002,616,201,57
2020-10-09 15:00:00,2,4,3,5,6,10,10,30,39,84,148,239,308,311,368,425,518,584,615,668,880,1163,1398,1450,1326,1209,836,480,166,49
2020-10-09 16:00:00,2,4,4,6,7,13,10,34,40,88,148,242,309,330,419,492,623,722,762,755,839,1010,1197,1295,1273,1094,669,343,130,41
2020-10-09 17:00:00,2,3,3,3,6,12,9,32,48,104,164,260,324,354,407,484,560,645,693,800,1002,1201,1294,1288,1217,891,494,242,92,34
2020-10-09 18:00:00,1,2,2,0,6,10,8,29,56,119,180,279,340,378,395,475,498,568,624,845,1165,1392,1391,1281,1161,688,320,141,54,27
2020-10-09 19:00:00,2,2,2,2,6,12,21,46,102,176,248,354,390,430,458,599,730,913,984,1138,1299,1366,1300,1020,830,458,228,111,46,25
2020-10-09 20:00:00,2,2,3,3,6,15,34,62,149,234,316,428,441,481,520,723,962,1258,1344,1431,1433,1339,1210,760,500,228,135,81,38,23
2020-10-09 21:00:00,2,3,8,6,12,40,96,147,252,324,384,497,511,629,804,1024,1224,1374,1354,1328,1249,1071,846,542,354,188,106,68,33,20
2020-10-09 22:00:00,3,4,13,10,19,65,157,232,355,415,453,566,581,777,1088,1326,1485,1491,1365,1224,1065,803,482,325,208,149,77,55,28,18
2020-10-09 23:00:00,4,4,10,15,40,82,168,245,310,370,456,569,670,828,1074,1261,1355,1386,1276,1117,918,675,424,290,184,131,75,48,32,17
2020-10-10 00:00:00,5,3,8,20,62,98,178,258,264,326,458,572,758,880,1059,1196,1225,1282,1188,1010,772,547,366,256,160,113,73,40,36,16
2020-10-10 01:00:00,6,6,14,22,56,110,186,245,260,341,478,598,759,884,1038,1091,1092,1095,984,810,607,404,272,198,128,85,55,32,26,14
2020-10-10 02:00:00,8,10,20,25,51,122,193,232,257,356,498,624,760,889,1018,986,959,908,780,611,442,261,177,139,97,57,37,24,15,13
2020-10-10 03:00:00,8,10,21,53,92,186,258,356,486,790,1129,1416,1518,1584,1666,1552,1440,1206,918,623,428,268,184,150,106,78,53,37,32,18
2020-10-10 04:00:00,9,10,22,81,132,250,322,479,714,1223,1760,2209,2276,2280,2313,2118,1920,1505,1056,635,413,274,190,161,116,100,69,50,48,24
2020-10-10 05:00:00,8,10,26,81,134,248,328,428,666,1122,1598,1972,2080,2148,2154,2010,1834,1428,1052,670,432,278,196,159,112,86,66,52,41,20
2020-10-10 06:00:00,7,11,29,81,137,245,335,376,618,1020,1436,1735,1883,2017,1996,1903,1747,1350,1047,705,450,282,201,157,108,71,64,54,34,15
