time,"(0.000955, 0.00118]","(0.00118, 0.00147]","(0.00147, 0.00182]","(0.00182, 0.00225]","(0.00225, 0.00279]","(0.00279, 0.00345]","(0.00345, 0.00428]","(0.00428, 0.0053]","(0.0053, 0.00656]","(0.00656, 0.00813]","(0.00813, 0.0101]","(0.0101, 0.0125]","(0.0125, 0.0155]","(0.0155, 0.0191]","(0.0191, 0.0237]","(0.0237, 0.0294]","(0.0294, 0.0364]","(0.0364, 0.0451]","(0.0451, 0.0559]","(0.0559, 0.0692]","(0.0692, 0.0857]","(0.0857, 0.106]","(0.106, 0.132]","(0.132, 0.163]","(0.163, 0.202]","(0.202, 0.25]","(0.25, 0.31]","(0.31, 0.384]","(0.384, 0.476]","(0.476, 0.589]"
2020-10-06 02:00:00,0,1,1,3,3,4,7,7,4,11,11,12,14,15,19,33,44,44,72,101,132,201,324,484,701,969,1496,2085,1563,306
2020-10-06 03:00:00,2,2,4,4,4,8,9,11,14,19,25,24,32,42,46,76,86,125,170,236,326,426,608,783,944,1090,1282,1369,874,168
2020-10-06 04:00:00,3,4,7,4,5,13,11,15,25,27,39,37,50,68,73,118,128,206,269,371,520,650,891,1082,1186,1212,1069,653,186,30
2020-10-06 05:00:00,3,4,6,4,6,13,12,18,24,30,34,36,50,72,80,114,144,213,276,382,536,676,888,1068,1128,1140,1013,596,184,27
2020-10-06 06:00:00,3,3,5,5,7,13,14,20,22,32,30,35,50,76,86,111,161,220,284,392,553,702,886,1053,1070,1068,957,538,182,24
2020-10-06 07:00:00,4,3,3,5,6,9,10,18,18,22,28,30,45,53,78,96,142,184,237,340,464,610,794,941,1019,1038,900,560,190,34
2020-10-06 08:00:00,4,3,1,5,4,5,6,15,15,11,27,26,40,30,70,81,122,149,190,288,375,519,702,829,968,1009,842,581,198,43
2020-10-06 09:00:00,3,2,1,4,3,4,5,12,12,8,22,20,31,25,54,63,96,121,152,228,301,424,584,707,847,911,809,579,209,43
2020-10-06 10:00:00,2,2,1,3,2,3,4,10,9,6,17,15,22,20,38,46,70,93,115,168,228,330,465,586,726,812,776,576,220,44
2020-10-06 11:00:00,1,1,1,2,1,2,2,7,6,4,12,10,12,14,22,28,45,65,78,107,154,235,346,464,606,714,742,574,230,44
