time,"(0.000264, 0.000341]","(0.000341, 0.000441]","(0.000441, 0.00057]","(0.00057, 0.000736]","(0.000736, 0.000951]","(0.000951, 0.00123]","(0.00123, 0.00159]","(0.00159, 0.00205]","(0.00205, 0.00265]","(0.00265, 0.00342]","(0.00342, 0.00442]","(0.00442, 0.00571]","(0.00571, 0.00737]","(0.00737, 0.00952]","(0.00952, 0.0123]","(0.0123, 0.0159]","(0.0159, 0.0205]","(0.0205, 0.0265]","(0.0265, 0.0343]","(0.0343, 0.0443]","(0.0443, 0.0572]","(0.0572, 0.0739]","(0.0739, 0.0954]","(0.0954, 0.123]","(0.123, 0.159]","(0.159, 0.206]","(0.206, 0.266]","(0.266, 0.343]","(0.343, 0.444]","(0.444, 0.573]"
2021-10-20 02:00:00,1,1,2,1,4,4,7,7,6,9,8,19,21,28,34,47,80,98,127,170,195,285,306,319,276,232,192,148,104,46
2021-10-20 03:00:00,0,2,2,2,4,6,8,6,12,10,12,20,28,40,42,51,78,110,134,192,232,298,316,336,300,246,187,152,114,38
2021-10-20 04:00:00,0,4,1,2,4,7,9,5,17,10,17,22,36,52,50,55,77,121,142,215,270,312,325,354,325,259,182,156,123,30
2021-10-20 05:00:00,0,2,2,2,6,6,8,8,16,11,14,24,36,46,50,74,86,132,158,201,269,326,334,358,325,254,190,158,118,32
2021-10-20 06:00:00,1,1,4,3,7,6,8,11,14,12,11,26,36,41,50,94,96,142,174,187,268,341,342,363,325,250,199,160,113,35
2021-10-20 07:00:00,0,0,3,4,7,4,6,12,12,15,19,22,34,38,54,85,89,128,164,197,268,346,372,388,344,257,190,137,104,38
2021-10-20 08:00:00,0,0,2,4,7,2,4,12,11,18,27,18,31,35,58,76,82,113,155,207,267,350,401,412,364,264,181,114,96,41
2021-10-20 09:00:00,0,0,1,2,6,3,4,10,10,12,19,16,26,28,47,61,72,100,132,174,244,303,387,422,422,320,198,126,88,38
2021-10-20 10:00:00,0,0,0,1,6,4,4,7,8,6,11,13,22,21,36,46,62,88,110,142,221,256,373,431,481,377,216,137,81,34
2021-10-20 11:00:00,0,0,0,0,3,4,2,6,8,5,10,14,20,20,29,40,52,66,96,125,185,232,357,432,515,478,314,158,82,35
2021-10-20 12:00:00,0,0,1,0,0,3,1,4,8,4,9,14,18,18,22,33,43,44,81,108,149,209,341,434,549,578,411,180,84,36
2021-10-20 13:00:00,0,0,0,0,0,2,1,3,6,5,8,12,15,19,22,27,42,44,76,102,133,204,312,423,572,690,542,274,96,31
2021-10-20 14:00:00,1,0,0,1,1,2,1,2,3,6,6,9,12,20,22,21,41,45,71,95,117,199,283,412,595,802,672,369,108,26
2021-10-20 15:00:00,0,0,1,1,1,2,2,2,6,5,9,11,12,22,18,28,36,47,72,98,128,192,278,422,580,800,736,432,140,30
2021-10-20 16:00:00,0,0,2,1,1,2,3,3,9,4,12,13,12,23,15,35,31,49,72,100,139,186,274,431,566,799,799,496,172,33
2021-10-20 17:00:00,0,0,2,0,2,2,4,4,6,6,8,11,14,22,25,30,38,50,73,106,142,208,308,422,586,780,767,432,146,30
2021-10-20 18:00:00,1,1,1,0,3,2,6,5,4,7,5,9,16,22,35,24,45,51,74,112,145,231,341,414,606,762,735,369,119,28
2021-10-20 19:00:00,0,1,2,0,2,1,6,4,6,9,6,14,22,28,29,36,52,68,86,124,183,250,335,439,610,723,657,342,128,32
2021-10-20 20:00:00,0,1,2,0,1,0,5,4,7,11,7,19,27,35,23,48,58,86,99,135,221,270,329,464,615,684,579,314,136,35
2021-10-20 21:00:00,0,0,2,1,2,6,4,6,10,10,10,20,25,36,36,55,68,100,114,165,224,283,332,470,512,536,438,244,112,32
2021-10-20 22:00:00,1,0,2,2,2,11,3,9,13,8,13,22,23,36,50,62,77,114,130,195,228,296,336,476,409,387,296,174,89,29
2021-10-20 23:00:00,1,0,2,4,5,8,5,13,12,12,14,20,30,43,50,60,86,117,138,205,239,314,351,440,392,354,264,171,94,32
2021-10-21 00:00:00,1,0,2,7,8,5,7,17,10,15,14,17,36,50,51,57,95,120,147,215,250,331,366,403,376,322,231,168,100,34
2021-10-21 01:00:00,0,0,5,6,6,4,6,14,10,17,19,22,42,56,62,77,103,136,155,212,274,354,384,398,360,303,224,162,108,32
2021-10-21 02:00:00,0,1,8,4,4,4,4,12,11,19,24,26,49,61,72,97,111,151,163,208,297,377,402,394,345,284,218,157,116,29
2021-10-21 03:00:00,0,2,6,6,5,4,8,12,14,18,26,30,52,56,78,98,124,152,185,224,322,376,407,390,342,274,198,152,107,30
2021-10-21 04:00:00,0,2,3,7,6,3,11,12,18,18,29,35,56,51,84,99,137,152,207,241,347,376,412,387,338,263,179,148,98,32
2021-10-21 05:00:00,2,2,2,7,7,7,10,14,17,18,25,39,50,62,84,102,136,148,204,252,340,382,398,432,367,279,186,140,110,38
2021-10-21 06:00:00,3,2,1,7,8,11,10,16,16,19,21,43,43,74,83,104,136,145,202,264,333,389,385,476,396,295,194,131,121,45
2021-10-21 07:00:00,4,2,3,7,8,9,10,14,16,18,27,36,46,60,77,106,142,168,216,263,344,414,422,482,399,298,182,138,104,36
2021-10-21 08:00:00,4,2,5,7,8,7,10,11,16,16,33,28,48,47,71,108,148,192,229,262,355,438,458,488,402,300,171,145,87,27
