time,"(0.456, 0.498]","(0.498, 0.544]","(0.544, 0.595]","(0.595, 0.65]","(0.65, 0.71]","(0.71, 0.776]","(0.776, 0.848]","(0.848, 0.926]","(0.926, 1.012]","(1.012, 1.106]","(1.106, 1.208]","(1.208, 1.32]","(1.32, 1.443]","(1.443, 1.576]","(1.576, 1.722]","(1.722, 1.882]","(1.882, 2.056]","(2.056, 2.247]","(2.247, 2.455]","(2.455, 2.683]","(2.683, 2.931]","(2.931, 3.203]","(3.203, 3.5]","(3.5, 3.824]","(3.824, 4.178]","(4.178, 4.566]","(4.566, 4.989]","(4.989, 5.451]","(5.451, 5.956]","(5.956, 6.508]"
2020-10-06 00:00:00,7,8,6,13,21,37,98,190,199,253,274,323,411,430,514,497,500,515,425,314,207,152,145,166,149,100,85,49,19,9
2020-10-06 01:00:00,5,8,10,14,24,38,96,168,204,266,271,352,422,471,498,466,442,428,356,260,176,156,148,170,140,100,67,42,14,10
2020-10-06 02:00:00,3,7,14,16,28,38,93,145,210,278,268,381,434,512,482,434,385,340,288,207,146,161,150,175,132,101,49,35,10,10
2020-10-06 03:00:00,2,6,11,20,28,64,138,196,264,298,352,440,504,547,521,445,420,347,291,194,164,173,172,166,138,96,50,34,16,7
2020-10-06 04:00:00,2,6,8,23,29,91,182,248,319,317,435,500,573,582,560,456,455,354,294,181,183,185,195,156,145,90,52,34,23,4
2020-10-06 05:00:00,3,7,10,18,38,87,172,256,289,334,426,505,563,563,532,438,435,347,270,178,195,180,178,148,114,78,49,31,22,5
2020-10-06 06:00:00,4,8,13,14,46,83,163,265,259,350,416,510,553,544,505,419,415,340,245,174,207,176,161,140,83,67,46,28,21,6
2020-10-06 07:00:00,2,6,14,12,31,60,122,203,221,304,368,422,494,508,507,445,442,378,290,232,234,170,150,130,93,60,44,28,20,8
2020-10-06 08:00:00,1,3,14,11,16,37,81,141,183,257,319,335,434,472,509,471,470,416,336,290,260,163,139,120,103,54,42,27,20,9
2020-10-06 09:00:00,2,3,12,10,15,32,68,122,163,234,296,328,415,463,504,492,502,460,433,374,349,287,274,227,173,113,71,39,24,13
2020-10-06 10:00:00,2,3,10,10,14,26,54,103,143,210,273,320,396,454,498,514,533,504,530,458,438,410,410,334,244,172,100,50,28,17
2020-10-06 11:00:00,2,3,9,10,12,21,41,84,123,187,250,313,376,446,492,536,564,549,627,541,526,534,546,440,314,230,130,62,33,21
2020-10-06 12:00:00,3,3,7,9,11,16,28,65,103,164,227,306,357,437,487,557,596,593,724,625,615,658,681,547,384,289,159,74,37,25
2020-10-06 13:00:00,2,2,6,8,11,15,23,50,88,129,194,238,286,334,389,418,456,442,518,492,507,529,544,450,350,244,116,54,29,22
2020-10-06 14:00:00,0,1,5,8,11,14,18,35,73,94,160,171,215,230,291,278,316,291,311,359,399,400,406,354,315,199,74,33,21,18
2020-10-06 15:00:00,1,4,4,8,12,12,18,34,58,77,136,170,198,234,270,264,304,290,290,314,362,376,399,352,286,180,77,32,16,12
2020-10-06 16:00:00,2,6,3,8,14,9,18,34,43,60,111,168,182,238,249,250,291,289,270,268,324,351,392,351,258,161,80,31,12,5
2020-10-06 17:00:00,4,5,4,8,12,10,16,33,58,112,196,263,262,309,342,365,404,456,547,639,692,648,605,478,300,169,90,42,22,11
2020-10-06 18:00:00,5,4,5,7,10,12,13,32,74,165,282,358,343,380,435,480,517,624,824,1010,1061,945,818,605,341,177,99,52,31,17
2020-10-06 19:00:00,4,5,8,9,14,18,23,54,122,200,304,371,370,406,506,582,625,712,820,940,922,750,590,423,254,156,88,52,27,14
2020-10-06 20:00:00,4,6,12,11,17,25,33,75,171,236,326,384,397,433,578,684,733,799,815,870,783,554,363,241,166,134,76,53,23,12
2020-10-06 21:00:00,4,6,16,22,33,45,74,120,234,303,416,516,633,738,826,910,921,920,926,899,737,495,359,267,178,143,96,54,27,16
2020-10-06 22:00:00,3,7,21,33,49,65,116,164,297,370,507,648,869,1044,1074,1137,1109,1041,1036,928,691,436,355,293,189,152,115,56,31,21
