window_start,window_end,ORGNANO pre-reaction,ORGNANO reaction,ORGNANO relaxation,ORGPICOPRO pre-reaction,ORGPICOPRO reaction,ORGPICOPRO relaxation,REDNANO pre-reaction,REDNANO reaction,REDNANO relaxation,REDPICOEUK pre-reaction,REDPICOEUK reaction,REDPICOEUK relaxation,REDPICOPRO pre-reaction,REDPICOPRO reaction,REDPICOPRO relaxation
2019-09-30 21:00:00,2019-10-10 17:00:00,120.36,48.91,11.34,18822.68,4720.44,8958.55,748.34,1476.27,534.29,976.98,3639.93,576.44,2049.18,8566.11,1066.59
2019-11-06 17:00:00,2019-11-21 12:00:00,86.71,70.98,39.97,11915.63,5569.7,10953.95,1229.45,1005.83,658.78,4588.86,2995.21,401.26,2997.64,4238.25,10115.57
2020-06-18 01:00:00,2020-06-25 21:00:00,51.7,49.4,12.45,12419.94,20174.36,13201.1,650.01,814.08,978.17,2559.85,4276.97,1286.45,639.97,1078.09,939.68
2020-06-30 23:00:00,2020-07-10 16:00:00,91.72,51.24,17.44,25972.71,15628.82,11251.28,1751.22,925.64,914.29,2414.35,1639.85,813.2,1142.63,1061.83,935.6
2020-07-14 12:00:00,2020-07-20 12:00:00,59.2,84.88,16.44,20150.33,21343.31,14918.93,1465.89,1045.98,1013.86,965.03,1198.32,652.03,819.59,1649.34,914.32
2020-07-31 18:00:00,2020-08-09 15:00:00,124.86,79.16,74.75,28611.35,20943.59,10443.27,1690.09,1180.91,901.56,800.93,2404.58,780.99,1471.8,5664.63,1005.76
2020-08-21 16:00:00,2020-08-27 20:00:00,,,,23407.85,38826.92,18628.38,,,,,,,1020.29,4025.25,1029.43
2020-08-27 22:00:00,2020-09-05 17:00:00,86.27,21.75,21.85,14482.75,20407.14,13582.27,841.11,1234.32,684.88,798.91,2883.31,701.83,1087.02,4090.3,1504.48
2020-09-23 19:00:00,2020-10-07 11:00:00,218.32,78.25,100.23,18253.94,4927.48,8806.19,1455.73,2307.71,1062.98,1289.34,1783.04,4728.91,1368.21,21480.04,7802.58
2020-10-06 13:00:00,2020-10-10 10:00:00,,,,,,,,,,3029.82,2215.24,4962.67,,,
2020-10-09 16:00:00,2020-10-19 19:00:00,155.81,40.05,58.94,13459.41,5739.92,25850.43,604.28,626.33,1057.79,3543.82,1590.15,1525.75,11875.27,5184.72,9140.39
2020-10-25 13:00:00,2020-11-01 09:00:00,37.73,31.99,69.23,17496.22,10661.45,22075.97,719.7,3090.65,1355.27,1125.33,3702.52,6566.14,7744.15,4664.43,7807.99
2021-07-07 02:00:00,2021-07-12 16:00:00,87.67,82.71,50.7,20156.53,33707.92,18902.32,1522.9,1062.6,1157.4,1718.07,2326.16,3285.49,2387.81,3110.83,3233.78
2021-07-11 19:00:00,2021-07-21 14:00:00,45.83,122.19,45.72,15749.11,18739.53,9047.63,776.33,1029.5,724.42,2447.86,2532.27,1260.2,4276.27,5229.57,1891.26
2021-08-15 02:00:00,2021-08-21 23:00:00,38.81,53.49,16.61,8261.14,23696.82,11825.82,737.91,664.25,541.71,458.78,1461.43,572.7,20232.91,1931.79,3606.75
2021-08-21 16:00:00,2021-08-26 10:00:00,36.6,76.56,66.65,8378.33,16030.61,21994.74,355.21,621.39,782.38,370.59,1366.14,1829.49,2718.37,1946.73,2333.22
2021-08-25 11:00:00,2021-09-02 16:00:00,65.99,48.98,16.34,19933.48,14944.28,9338.56,986.4,687.62,384.95,1890.49,1487.4,517.95,2372.58,4924.45,2717.74
2021-09-17 18:00:00,2021-09-26 13:00:00,82.42,85.49,41.5,14205.01,19966.8,6019.29,581.78,985.85,253.57,1175.69,3455.8,328.26,4732.87,12118.97,3641.71
2021-10-03 14:00:00,2021-10-16 10:00:00,46.04,29.33,33.71,11502.6,7313.59,15506.97,541.14,863.64,538.03,383.29,952.05,448.88,5218.97,9735.04,4808.44
2021-10-20 15:00:00,2021-10-26 11:00:00,44.49,25.04,78.67,,,,597.69,1565.21,1122.46,375.75,1873.8,806.56,,,
