window_start,window_end,ORGNANO pre-reaction,ORGNANO reaction,ORGNANO relaxation,ORGPICOPRO pre-reaction,ORGPICOPRO reaction,ORGPICOPRO relaxation,REDNANO pre-reaction,REDNANO reaction,REDNANO relaxation,REDPICOEUK pre-reaction,REDPICOEUK reaction,REDPICOEUK relaxation,REDPICOPRO pre-reaction,REDPICOPRO reaction,REDPICOPRO relaxation
2019-09-30 21:00:00,2019-10-10 17:00:00,,,,3.19e-06,5.7e-07,1.25e-06,8.98e-06,1.282e-05,7.85e-06,8.2e-07,2.29e-06,3.7e-07,1e-07,4.6e-07,1.2e-07
2019-11-06 17:00:00,2019-11-21 12:00:00,3.08e-06,4.04e-06,1.62e-06,2.16e-06,1.07e-06,2.04e-06,1.3e-05,7.83e-06,5.45e-06,2.2e-06,1.5e-06,2.1e-07,1.8e-07,6.6e-07,4.3e-07
2020-06-18 01:00:00,2020-06-25 21:00:00,2.2e-06,7.27e-06,1.46e-06,2.06e-06,4.23e-06,2.58e-06,1.251e-05,3.578e-05,2.109e-05,1.58e-06,2.41e-06,9.9e-07,4e-08,1.9e-07,6e-08
2020-06-30 23:00:00,2020-07-10 16:00:00,5.47e-06,2.77e-06,1.23e-06,4.79e-06,3.37e-06,2.19e-06,,,,1.19e-06,2.47e-06,6.4e-07,,,
2020-07-14 12:00:00,2020-07-20 12:00:00,3.36e-06,7.04e-06,1.17e-06,3.6e-06,4.21e-06,2.94e-06,,,,7.1e-07,1.36e-06,5.5e-07,5e-08,1.1e-07,7e-08
2020-07-31 18:00:00,2020-08-09 15:00:00,,,,6.48e-06,3.65e-06,1.86e-06,4.304e-05,1.691e-05,2.908e-05,5.8e-07,2.36e-06,6.7e-07,1e-07,2.9e-07,5e-08
2020-08-21 16:00:00,2020-08-27 20:00:00,,,,,,,,,,,,,9e-08,4.4e-07,8e-08
2020-08-27 22:00:00,2020-09-05 17:00:00,2.46e-06,5.08e-06,1.14e-06,,,,8.75e-06,1.402e-05,1.063e-05,5.3e-07,1.75e-06,5.8e-07,7e-08,2e-07,9e-08
2020-09-23 19:00:00,2020-10-07 11:00:00,4.27e-06,7.431e-05,2.292e-05,,,,1.065e-05,3.373e-05,1.591e-05,8.1e-07,3.53e-06,1.17e-06,7e-08,1.16e-06,3.7e-07
2020-10-06 13:00:00,2020-10-10 10:00:00,,,,,,,,,,1.5e-06,8.2e-07,2.09e-06,,,
2020-10-09 16:00:00,2020-10-19 19:00:00,,,,2.49e-06,1.06e-06,4.34e-06,1.554e-05,6.57e-06,1.223e-05,2.12e-06,7.2e-07,9e-07,,,
2020-10-25 13:00:00,2020-11-01 09:00:00,1.68e-06,5.08e-06,3.09e-06,2.15e-06,3.38e-06,5.56e-06,8.11e-06,1.578e-05,6.91e-06,6.5e-07,3.17e-06,1.86e-06,4e-07,2.5e-07,4e-07
2021-07-07 02:00:00,2021-07-12 16:00:00,4.57e-06,3.16e-06,2.18e-06,3.32e-06,4.56e-06,3.01e-06,1.992e-05,1.441e-05,1.987e-05,1.12e-06,1.37e-06,2.18e-06,9e-08,1.2e-07,1e-07
2021-07-11 19:00:00,2021-07-21 14:00:00,1.98e-06,4.34e-06,1.88e-06,2.41e-06,3.02e-06,1.55e-06,,,,1.28e-06,2.11e-06,9.2e-07,1.5e-07,2.7e-07,6e-08
2021-08-15 02:00:00,2021-08-21 23:00:00,,,,1.4e-06,5.13e-06,1.91e-06,1.377e-05,6.38e-06,9.51e-06,3.9e-07,1.94e-06,4.3e-07,6.9e-07,1.9e-07,1.5e-07
2021-08-21 16:00:00,2021-08-26 10:00:00,1.35e-06,5.81e-06,2.76e-06,1.43e-06,2.59e-06,3.19e-06,6.04e-06,8.93e-06,1.482e-05,2.8e-07,7.5e-07,1.25e-06,1.1e-07,9e-08,1.5e-07
2021-08-25 11:00:00,2021-09-02 16:00:00,4.26e-06,2.07e-06,7.9e-07,3.12e-06,2.4e-06,1.47e-06,,,,8.3e-07,1.16e-06,4.4e-07,1.2e-07,2e-07,1.1e-07
2021-09-17 18:00:00,2021-09-26 13:00:00,,,,3.41e-06,2.17e-06,9.3e-07,6.38e-06,9.78e-06,3.39e-06,6.9e-07,1.81e-06,2.1e-07,1.6e-07,5e-07,1.3e-07
2021-10-03 14:00:00,2021-10-16 10:00:00,1.06e-06,2.839e-05,1.14e-06,2.47e-06,1.38e-06,2.39e-06,5.22e-06,1.084e-05,8.15e-06,,,,2.1e-07,5.4e-07,1.9e-07
2021-10-20 15:00:00,2021-10-26 11:00:00,1.41e-06,3.75e-06,1.42e-06,,,,5.5e-06,1.032e-05,6.86e-06,2.2e-07,9.2e-07,4.3e-07,1.9e-07,5.1e-07,2e-07
