WUI_start,WUI_end,T_start,T_end,Tmax,Tmin,window_start,window_end,is_enough_phyto_data,ORGNANO_start,ORGNANO_end,ORGNANO_phyto_react_before_T,ORGNANOmedian_before,ORGNANOmedian_during,ORGNANOmedian_after,ORGPICOPRO_start,ORGPICOPRO_end,ORGPICOPRO_phyto_react_before_T,ORGPICOPROmedian_before,ORGPICOPROmedian_during,ORGPICOPROmedian_after,REDNANO_start,REDNANO_end,REDNANO_phyto_react_before_T,REDNANOmedian_before,REDNANOmedian_during,REDNANOmedian_after,REDPICOEUK_start,REDPICOEUK_end,REDPICOEUK_phyto_react_before_T,REDPICOEUKmedian_before,REDPICOEUKmedian_during,REDPICOEUKmedian_after,REDPICOPRO_start,REDPICOPRO_end,REDPICOPRO_phyto_react_before_T,REDPICOPROmedian_before,REDPICOPROmedian_during,REDPICOPROmedian_after
2019-10-01 21:00:00,2019-10-08 08:00:00,2019-10-02 21:00:00,2019-10-09 17:00:00,2019-10-01 21:00:00,2019-10-04 04:00:00,2019-09-30 21:00:00,2019-10-10 17:00:00,True,2019-10-01 20:00:00,2019-10-03 00:00:00,True,3838.7603870630896,8586.908222273152,1908.6864366755706,2019-10-02 22:00:00,2019-10-06 08:00:00,False,3188.3403516432863,569.6455301565722,1252.0682625441505,2019-10-05 10:00:00,2019-10-09 22:00:00,False,8982.366612793754,12817.16034377455,7845.678443059189,2019-10-05 06:00:00,2019-10-09 10:00:00,False,820.9235046027334,2288.2301408561743,369.12994229609126,2019-10-02 16:00:00,2019-10-10 00:00:00,False,96.75790731748666,461.8472856506699,122.5008068258674
2019-11-07 13:00:00,2019-11-14 02:00:00,2019-11-11 05:00:00,2019-11-20 12:00:00,2019-11-07 17:00:00,2019-11-14 09:00:00,2019-11-06 17:00:00,2019-11-21 12:00:00,True,2019-11-10 02:00:00,2019-11-14 22:00:00,False,3075.218438152953,4041.7978567659584,1618.3766580225222,2019-11-11 08:00:00,2019-11-14 10:00:00,False,2156.025462724697,1065.084653863487,2042.600267851355,2019-11-08 18:00:00,2019-11-16 02:00:00,False,13000.981588447166,7828.960428068813,5447.054439675061,2019-11-11 08:00:00,2019-11-14 16:00:00,False,2198.8968227030196,1500.2085770310143,207.6706605598768,2019-11-14 10:00:00,2019-11-18 22:00:00,False,180.83296930066223,658.9938221696732,432.1989653247673
2020-06-18 21:00:00,2020-06-23 05:00:00,2020-06-20 07:00:00,2020-06-24 21:00:00,2020-06-19 01:00:00,2020-06-22 02:00:00,2020-06-18 01:00:00,2020-06-25 21:00:00,True,2020-06-19 08:00:00,2020-06-21 22:00:00,False,2201.5325256624915,7269.836657288697,1458.088639364339,2020-06-20 12:00:00,2020-06-22 00:00:00,False,2057.751292587797,4229.164621164993,2579.1166530134974,2020-06-23 16:00:00,2020-06-23 22:00:00,False,12508.336543682892,35775.0972050829,21088.70103391259,2020-06-23 14:00:00,2020-06-24 20:00:00,False,1583.859636292702,2411.500654094831,991.4527247700204,2020-06-21 18:00:00,2020-06-22 08:00:00,False,37.67213159692049,193.63437339613756,63.00502625305132
2020-07-01 19:00:00,2020-07-08 08:00:00,2020-07-03 02:00:00,2020-07-09 16:00:00,2020-07-01 23:00:00,2020-07-07 05:00:00,2020-06-30 23:00:00,2020-07-10 16:00:00,True,2020-07-03 16:00:00,2020-07-08 18:00:00,False,5467.832014773208,2767.40900919042,1226.0941040537753,2020-07-02 06:00:00,2020-07-02 22:00:00,False,4787.869649846075,3372.1754834350722,2188.39579166133,2020-07-01 10:00:00,2020-07-02 20:00:00,True,30700.14195330409,44676.16034060483,15305.718926512714,2020-07-08 06:00:00,2020-07-09 14:00:00,False,1189.6142611220773,2471.2333867593056,637.3869377402622,2020-07-01 20:00:00,2020-07-04 08:00:00,True,60.23842391840179,109.54018117573253,52.12446449961648
2020-07-14 20:00:00,2020-07-18 08:00:00,2020-07-16 11:00:00,2020-07-19 12:00:00,2020-07-15 12:00:00,2020-07-17 23:00:00,2020-07-14 12:00:00,2020-07-20 12:00:00,True,2020-07-16 14:00:00,2020-07-18 20:00:00,False,3364.6184591348583,7039.865899692044,1165.6367087505412,2020-07-16 12:00:00,2020-07-17 20:00:00,False,3601.9394429571485,4212.076224602841,2935.066983593015,2020-07-15 02:00:00,2020-07-16 00:00:00,True,45198.35340342244,29721.497455019307,19263.995065437935,2020-07-18 14:00:00,2020-07-19 12:00:00,False,713.4500281866456,1360.7147139240778,545.0957639472525,2020-07-15 20:00:00,2020-07-18 06:00:00,False,45.785192433151074,114.15011590062426,66.0917023958858
2020-08-01 16:00:00,2020-08-05 09:00:00,2020-08-03 05:00:00,2020-08-08 15:00:00,2020-08-01 18:00:00,2020-08-04 17:00:00,2020-07-31 18:00:00,2020-08-09 15:00:00,True,2020-08-01 02:00:00,2020-08-07 04:00:00,True,19244.084071630088,4145.697180372376,5797.791306032345,2020-08-02 00:00:00,2020-08-08 12:00:00,False,6483.157745971675,3648.5268430556425,1856.720796614749,2020-08-02 02:00:00,2020-08-07 04:00:00,False,43042.32427145461,16907.024738818785,29075.27732253679,2020-08-05 12:00:00,2020-08-08 10:00:00,False,577.734396757442,2363.870962031268,673.0242029758596,2020-08-03 20:00:00,2020-08-06 10:00:00,False,103.6619088958868,290.3215816806006,53.368423459820406
2020-08-22 01:00:00,2020-08-25 08:00:00,2020-08-23 15:00:00,2020-08-26 20:00:00,2020-08-22 16:00:00,2020-08-26 08:00:00,2020-08-21 16:00:00,2020-08-27 20:00:00,True,,,True,,,,2020-08-22 12:00:00,2020-08-23 20:00:00,True,3093.3978116718013,5880.633981403704,3313.814350156097,,,True,,,,,,True,,,,2020-08-24 18:00:00,2020-08-25 06:00:00,False,86.67209913269102,438.283006060234,84.1698882148178
2020-08-28 18:00:00,2020-09-03 12:00:00,2020-08-29 06:00:00,2020-09-04 17:00:00,2020-08-28 22:00:00,2020-09-03 19:00:00,2020-08-27 22:00:00,2020-09-05 17:00:00,True,2020-09-02 02:00:00,2020-09-04 12:00:00,False,2456.3909500260033,5082.277681806936,1140.7631211330254,2020-08-28 12:00:00,2020-09-04 12:00:00,True,1884.8234802467489,3005.8887887042556,2460.8185660049703,2020-09-02 08:00:00,2020-09-05 02:00:00,False,8745.223363784078,14023.216193015953,10629.654491486806,2020-09-02 02:00:00,2020-09-04 14:00:00,False,526.7432414826108,1753.6332150870248,575.289356836118,2020-08-29 10:00:00,2020-09-04 10:00:00,False,67.70466013210535,204.65054399442985,92.97407746989529
2020-09-24 19:00:00,2020-09-30 12:00:00,2020-09-26 10:00:00,2020-10-06 11:00:00,2020-09-24 19:00:00,2020-09-29 05:00:00,2020-09-23 19:00:00,2020-10-07 11:00:00,True,2020-10-06 12:00:00,2020-10-06 22:00:00,False,4271.8566163445685,74308.52773566195,22924.4906088977,2020-09-24 02:00:00,2020-09-27 04:00:00,True,5844.598932717833,2843.418793811445,1065.8173701221208,2020-09-30 12:00:00,2020-10-05 08:00:00,False,10654.168068845247,33728.880913232315,15906.68088437384,2020-09-30 06:00:00,2020-10-05 08:00:00,False,808.6195622742254,3532.359011208025,1165.5013269234992,2020-09-26 10:00:00,2020-09-28 14:00:00,False,66.72663307587484,1161.6467382403048,366.5612327850095
2020-10-06 21:00:00,2020-10-08 12:00:00,2020-10-07 19:00:00,2020-10-09 10:00:00,2020-10-07 13:00:00,2020-10-08 06:00:00,2020-10-06 13:00:00,2020-10-10 10:00:00,True,2020-10-06 20:00:00,2020-10-07 02:00:00,True,84709.92313258172,44749.342998802094,9938.971070993357,2020-10-07 04:00:00,2020-10-09 10:00:00,True,2171.8835019790117,1341.184990931111,2233.545322484411,2020-10-07 04:00:00,2020-10-09 12:00:00,True,21928.064268140108,7784.739926038049,13891.459411456804,2020-10-07 14:00:00,2020-10-09 12:00:00,False,1501.0434324507173,816.2442297550502,2089.382871300078,2020-10-07 04:00:00,2020-10-08 08:00:00,True,984.2124792117104,525.2403916756862,671.6397857740492
