WUI_start,WUI_end,T_start,T_end,Tmax,Tmin,window_start,window_end,is_enough_phyto_data,ORGNANO_start,ORGNANO_end,ORGNANO_phyto_react_before_T,ORGNANOmedian_before,ORGNANOmedian_during,ORGNANOmedian_after,ORGPICOPRO_start,ORGPICOPRO_end,ORGPICOPRO_phyto_react_before_T,ORGPICOPROmedian_before,ORGPICOPROmedian_during,ORGPICOPROmedian_after,REDNANO_start,REDNANO_end,REDNANO_phyto_react_before_T,REDNANOmedian_before,REDNANOmedian_during,REDNANOmedian_after,REDPICOEUK_start,REDPICOEUK_end,REDPICOEUK_phyto_react_before_T,REDPICOEUKmedian_before,REDPICOEUKmedian_during,REDPICOEUKmedian_after,REDPICOPRO_start,REDPICOPRO_end,REDPICOPRO_phyto_react_before_T,REDPICOPROmedian_before,REDPICOPROmedian_during,REDPICOPROmedian_after
2019-10-01 21:00:00,2019-10-08 08:00:00,2019-10-02 21:00:00,2019-10-09 17:00:00,2019-10-01 21:00:00,2019-10-04 04:00:00,2019-09-30 21:00:00,2019-10-10 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-07 13:00:00,2019-11-14 02:00:00,2019-11-11 05:00:00,2019-11-20 12:00:00,2019-11-07 17:00:00,2019-11-14 09:00:00,2019-11-06 17:00:00,2019-11-21 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18 21:00:00,2020-06-23 05:00:00,2020-06-20 07:00:00,2020-06-24 21:00:00,2020-06-19 01:00:00,2020-06-22 02:00:00,2020-06-18 01:00:00,2020-06-25 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01 19:00:00,2020-07-08 08:00:00,2020-07-03 02:00:00,2020-07-09 16:00:00,2020-07-01 23:00:00,2020-07-07 05:00:00,2020-06-30 23:00:00,2020-07-10 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14 20:00:00,2020-07-18 08:00:00,2020-07-16 11:00:00,2020-07-19 12:00:00,2020-07-15 12:00:00,2020-07-17 23:00:00,2020-07-14 12:00:00,2020-07-20 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01 16:00:00,2020-08-05 09:00:00,2020-08-03 05:00:00,2020-08-08 15:00:00,2020-08-01 18:00:00,2020-08-04 17:00:00,2020-07-31 18:00:00,2020-08-09 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22 01:00:00,2020-08-25 08:00:00,2020-08-23 15:00:00,2020-08-26 20:00:00,2020-08-22 16:00:00,2020-08-26 08:00:00,2020-08-21 16:00:00,2020-08-27 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-28 18:00:00,2020-09-03 12:00:00,2020-08-29 06:00:00,2020-09-04 17:00:00,2020-08-28 22:00:00,2020-09-03 19:00:00,2020-08-27 22:00:00,2020-09-05 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24 19:00:00,2020-09-30 12:00:00,2020-09-26 10:00:00,2020-10-06 11:00:00,2020-09-24 19:00:00,2020-09-29 05:00:00,2020-09-23 19:00:00,2020-10-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06 21:00:00,2020-10-08 12:00:00,2020-10-07 19:00:00,2020-10-09 10:00:00,2020-10-07 13:00:00,2020-10-08 06:00:00,2020-10-06 13:00:00,2020-10-10 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09 21:00:00,2020-10-19 04:00:00,2020-10-10 22:00:00,2020-10-18 19:00:00,2020-10-10 16:00:00,2020-10-13 06:00:00,2020-10-09 16:00:00,2020-10-19 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26 03:00:00,2020-10-30 15:00:00,2020-10-26 22:00:00,2020-10-31 09:00:00,2020-10-26 13:00:00,2020-10-27 07:00:00,2020-10-25 13:00:00,2020-11-01 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-07 23:00:00,2021-07-10 09:00:00,2021-07-08 18:00:00,2021-07-11 16:00:00,2021-07-08 02:00:00,2021-07-09 12:00:00,2021-07-07 02:00:00,2021-07-12 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-12 19:00:00,2021-07-19 07:00:00,2021-07-13 03:00:00,2021-07-20 14:00:00,2021-07-12 19:00:00,2021-07-16 22:00:00,2021-07-11 19:00:00,2021-07-21 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15 23:00:00,2021-08-19 10:00:00,2021-08-17 03:00:00,2021-08-20 23:00:00,2021-08-16 02:00:00,2021-08-18 10:00:00,2021-08-15 02:00:00,2021-08-21 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-22 02:00:00,2021-08-24 09:00:00,2021-08-23 17:00:00,2021-08-25 10:00:00,2021-08-22 16:00:00,2021-08-25 02:00:00,2021-08-21 16:00:00,2021-08-26 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-25 18:00:00,2021-08-29 10:00:00,2021-08-27 04:00:00,2021-09-01 16:00:00,2021-08-26 11:00:00,2021-08-30 15:00:00,2021-08-25 11:00:00,2021-09-02 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18 18:00:00,2021-09-21 09:00:00,2021-09-20 20:00:00,2021-09-25 13:00:00,2021-09-18 18:00:00,2021-09-22 12:00:00,2021-09-17 18:00:00,2021-09-26 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-04 00:00:00,2021-10-14 10:00:00,2021-10-06 21:00:00,2021-10-15 10:00:00,2021-10-04 14:00:00,2021-10-09 06:00:00,2021-10-03 14:00:00,2021-10-16 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-21 06:00:00,2021-10-24 13:00:00,2021-10-22 05:00:00,2021-10-25 11:00:00,2021-10-21 15:00:00,2021-10-24 08:00:00,2021-10-20 15:00:00,2021-10-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
