window_start,window_end,nitrates pre-anomaly,nitrates anomaly,nitrates post-anomaly,nitrites pre-anomaly,nitrites anomaly,nitrites post-anomaly,phosphates pre-anomaly,phosphates anomaly,phosphates post-anomaly,Ammonium pre-anomaly,Ammonium anomaly,Ammonium post-anomaly,N/P pre-anomaly,N/P anomaly,N/P post-anomaly
2019-09-30 21:00:00,2019-10-10 17:00:00,0.14,0.23,0.85,0.01,0.05,0.08,0.04,0.04,0.07,0.32,0.36,0.34,13.06,16.45,24.03
2019-11-06 17:00:00,2019-11-21 12:00:00,,1.16,0.88,,0.12,0.08,,0.07,0.05,,0.31,0.33,,26.68,26.0
2020-05-22 14:00:00,2020-05-26 09:00:00,,,0.34,,,0.05,,,0.12,,,0.26,,,5.58
2020-06-18 01:00:00,2020-06-25 21:00:00,0.57,0.21,0.37,0.06,0.01,0.01,0.03,0.01,0.01,0.15,0.14,0.11,22.87,33.57,44.49
2020-06-30 23:00:00,2020-07-10 16:00:00,0.32,0.18,0.58,0.01,0.01,0.05,0.07,0.03,0.03,0.11,0.18,0.07,31.43,,22.55
2020-07-14 12:00:00,2020-07-20 12:00:00,0.38,0.19,0.3,0.04,0.02,0.02,0.03,0.03,0.03,0.1,0.16,0.09,17.16,12.1,14.3
2020-07-31 18:00:00,2020-08-09 15:00:00,,0.13,,,0.01,,,0.02,,,0.14,,,17.87,
2020-08-21 16:00:00,2020-08-27 20:00:00,,,0.35,,,0.03,,,0.06,,,0.06,,,7.3
2020-08-27 22:00:00,2020-09-05 17:00:00,,0.24,,,0.01,,,0.02,,,0.07,,,43.07,
2020-09-23 19:00:00,2020-10-07 11:00:00,0.9,1.11,0.33,0.05,0.15,0.08,0.03,0.08,0.04,0.25,0.24,0.35,40.83,19.91,22.94
2020-10-06 13:00:00,2020-10-10 10:00:00,0.35,,0.69,0.05,,0.1,0.05,,0.03,0.34,,0.29,15.72,,35.19
2020-10-09 16:00:00,2020-10-19 19:00:00,0.33,0.83,0.5,0.08,0.09,0.04,0.04,0.03,0.03,0.35,0.33,0.17,22.94,40.07,22.42
2020-10-25 13:00:00,2020-11-01 09:00:00,0.5,0.36,0.9,0.04,0.05,0.06,0.03,0.03,0.02,0.17,0.27,0.24,22.42,26.02,57.23
2021-07-07 02:00:00,2021-07-12 16:00:00,0.39,0.18,0.15,0.09,0.03,0.05,0.13,0.06,0.07,0.21,0.16,0.18,5.98,8.01,6.98
2021-07-11 19:00:00,2021-07-21 14:00:00,0.2,0.17,0.2,0.05,0.05,0.03,0.07,0.05,0.02,0.18,0.26,0.29,7.31,17.72,28.64
2021-08-15 02:00:00,2021-08-21 23:00:00,,0.2,0.11,,0.02,0.05,,0.02,0.01,,0.14,0.2,,15.22,28.17
2021-08-21 16:00:00,2021-08-26 10:00:00,,0.11,,,0.05,,,0.01,,,0.2,0.26,,28.17,
2021-08-25 11:00:00,2021-09-02 16:00:00,0.11,,0.14,0.05,,0.03,0.01,,0.04,0.2,0.26,0.2,28.17,,9.32
2021-09-17 18:00:00,2021-09-26 13:00:00,0.22,0.41,0.33,0.05,1.06,0.04,0.04,0.17,0.08,0.25,2.47,0.15,12.66,23.34,7.54
2021-10-03 14:00:00,2021-10-16 10:00:00,0.06,0.55,0.54,0.05,0.09,0.03,0.06,0.09,0.09,0.16,0.21,0.15,4.54,16.02,7.94
2021-10-20 15:00:00,2021-10-26 11:00:00,0.54,,,0.03,,,0.09,,,0.15,,,7.94,,
